genesymbols	Plasmablasts	Naive_CD4_T_cells	Cycling_TNK	Classical_monocytes	Platelets	Degranulating_neutrophils	Memory_CD4_T_cells	IL1R2+_immature_neutrophils	B_cells	Mast_cells/eosiniophils	Mature_neutrophils	HSPCs	Naive_CD8_T_cells	NK cells	CD8_T_cells	S100A8-9_hi_neutrophils	Eosinophils	PADI4+_immature_neutrophils	Non-classical_monocytes	MPO+_immature_neutrophils_or_progenitors	Cycling_neutrophil_progenitors	cDCs	pDCs
SUB1P3	8.59531589273511	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUCLA2	10.2846583339443	1	16.6473687395265	17.8850306670818	1	1	1	1	1	1	1	1	20.5706471013542	28.378045344556	1	1	1	1	12.2794270214685	1	1	12.8678800574466	45.6707763780934
SUCLG1	89.8375905192925	55.3453442518369	174.524667879899	95.3796997922191	21.630539292706	44.8676870774828	80.4860441240512	58.2417666202146	36.8495316510471	1	37.2268573341503	73.9228266919943	63.5802542339674	67.8616398738059	56.4261139167155	32.9570869471193	1	123.755047610056	81.125623942424	132.531369805942	67.3881823574616	106.028187636365	24.1722859460086
SUCLG2	61.154740200117	103.794348728542	75.4459695591579	32.9740783701421	1	1	117.397694039914	1	33.9619895288541	1	1	1	82.309075270744	70.6675054462601	65.6339531837243	1	1	1	57.1434503013477	34.6273300663513	1	63.6517561439712	1
SUCLG2.AS1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUCLG2P2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUCNR1	1	1	1	1	148.419772763245	1	1	1	1	1	1	1	1	1	1	1	1	12.6022335303561	1	147.615135993357	1	1	1
SUCO	81.4045601935981	41.0760664490739	23.6510672638241	14.8782910275624	1	1	22.6498605369042	1	49.5053002106836	1	1	47.7318567005004	24.2382841757171	40.2523358939186	27.5069372472156	1	62.2056668614512	38.0322688177718	26.9418382776974	86.3144057986672	47.3492526285128	18.7351645373323	1
SUDS3	63.2682115475488	41.2941565682197	27.7810342924858	37.1102400036647	1	29.7977804399967	43.8962817543889	61.5035279377704	54.187499671788	86.7164451556286	52.0455221293608	38.4274409704172	31.4599635114361	37.2927403904522	21.3372356097267	1	1	14.7090060497043	30.8333057078777	26.1849295114903	41.4415182542224	39.5821807448351	24.2966783654996
SUDS3P1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUFU	1	19.9779813132759	14.2659110461494	29.7200229120536	1	1	1	1	1	1	1	12.1065300772972	19.5264720235228	1	1	1	1	1	22.5171048247579	1	1	30.5621480149943	1
SUGCT	1	1	1	1	1	1	1	1	1	1	1	13.186219944604	1	1	1	1	1	1	1	1	1	1	1
SUGP1	12.6304186167932	1	12.6426839709089	12.0591385650046	1	1	18.8581562741602	1	28.0645358975371	1	43.1072801743087	1	1	18.1418292820915	18.3029581930128	1	105.595452547879	13.5723274092165	14.8688849949636	17.070595391938	19.442431214672	12.1792766575335	28.5520044083207
SUGP2	55.3610782772958	70.565817505717	90.3892035637222	48.4385548699136	1	1	55.3738273262747	23.6100694093934	128.813372286181	48.8569347551942	1	81.2223085959064	70.4838692346355	117.966584590591	82.6332944529749	1	209.085868159635	26.6243456157842	74.9847313074699	107.121672709339	79.3814003606133	42.5957405074556	37.1409215207108
SUGT1	66.7420717187979	43.5453694572	59.2818264561676	54.5201623400725	1	1	61.1897438238712	24.9080887495964	49.117365978994	141.448174469527	1	107.210446933251	51.9881978903021	58.7789924603423	48.8509029496216	1	142.476908767908	27.0883061667593	39.4551834497544	38.6364983802641	35.0696885697065	76.8686638479999	124.162048546679
SUGT1P2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUGT1P3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUGT1P4.STRA6LP	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SULF2	1	1	1	89.8067824733588	1	42.5579027383017	1	1	1	166.632111851069	1	1	1	1	1	44.3652592031547	1	1	50.8521845029247	1	36.4087399164157	152.737297564829	285.8046569018
SULT1A1	1	1	1	139.066078198837	1	85.0080958947823	1	31.0309992357338	1	1	74.9168458295551	46.1324109403498	1	1	1	1	1	59.8956760489361	73.6062781184291	1	42.0965042045887	27.0509265300148	1
SULT1A2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SULT1A3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SULT1A4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SULT1B1	1	36.8824142272887	1	79.6166909153816	112.200726091865	266.502099002794	17.8857191998692	273.226990600138	1	51.5216416583454	292.327737908629	1	25.1045632622996	40.7510185521101	1	292.46229396558	1	154.712933063663	47.9910203714561	1	349.708630363916	31.6704814303621	1
SULT1C4	1	1	1	1	1	1	1	1	1	1	1	36.2672000763648	1	1	1	1	1	1	1	1	1	1	28.5520044083207
SULT2B1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
SUMF1	1	1	16.8005062994949	43.2508173322909	1	1	23.4298182790354	35.731131274466	1	1	34.916232495102	23.7889312028754	1	1	1	45.8533032845503	1	1	29.6108919924525	14.434308884545	39.2673321468486	55.811636172476	99.1121686258674
