"Group","HiIL6","Marker","Group1","Group2","p_value","significant"
"HV","LowIL6_M","CCL4","PP","LPS",1,FALSE
"HV","LowIL6_M","CCL4","PP","KP",0.170547002660254,FALSE
"HV","LowIL6_M","TNF","LPS","M",1.57106478686421e-17,TRUE
"HV","LowIL6_M","TNF","KP","M",1.37310387964384e-21,TRUE
"HV","LowIL6_M","TNF","PP","M",2.25681185361364e-22,TRUE
"HV","LowIL6_M","TNF","KP","LPS",9.6828752978015e-09,TRUE
"HV","LowIL6_M","TNF","PP","LPS",1.99988192144522e-10,TRUE
"HV","LowIL6_M","TNF","PP","KP",1,FALSE
"HV","LowIL6_M","IL_6","LPS","M",8.80952386319525e-21,TRUE
"HV","LowIL6_M","IL_6","KP","M",3.12373986230044e-21,TRUE
"HV","LowIL6_M","IL_6","PP","M",2.25214436376693e-22,TRUE
"HV","LowIL6_M","IL_6","KP","LPS",1,FALSE
"HV","LowIL6_M","IL_6","PP","LPS",0.000663267376947353,TRUE
"HV","LowIL6_M","IL_6","PP","KP",2.91351020555319e-09,TRUE
"HV","LowIL6_M","IL_10","LPS","M",1.2865576113139e-19,TRUE
"HV","LowIL6_M","IL_10","KP","M",3.81721053756924e-21,TRUE
"HV","LowIL6_M","IL_10","PP","M",2.70394360794125e-22,TRUE
"HV","LowIL6_M","IL_10","KP","LPS",2.79783794299745e-07,TRUE
"HV","LowIL6_M","IL_10","PP","LPS",3.68192458559271e-05,TRUE
