gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
RP11-440L14.4	36.81	41.15	14.96	28.74	212.01	9.02	93.84	25.51	17.61	21.6	22.97	19.01	60.56	32.46	47.58	12.86
FAM160B2	33.36	24.02	95.69	19.32	25.41	211.03	21.42	9.42	46.02	34.84	44.05	12.86	61.59	17.12	15	27.73
STARD3NL	31.83	15.11	210.31	9.31	17.21	98.73	60.31	29.36	23.2	25.36	41.29	12.79	35.89	21.22	48.45	19.27
PAWR	21.2	31.98	36.1	60.31	97.28	210.74	27.61	48.68	12.79	17.33	23.36	15.02	41.04	26.66	9.02	19.24
BACH2	25.36	34.2	34.79	212.02	97.29	59.89	28.88	41.3	15.02	19.29	21.27	12.79	47.65	17.3	9.02	23.12
RP4-635E18.8	23.96	48.68	29.4	40.97	92.84	24.09	36.06	12.82	17.06	21.75	31.4	15.46	212.01	64.75	9.02	19.29
TEKT4	17.48	23.26	25.57	9.42	41.94	200.06	12.9	15.16	29.51	31.71	36.42	19.41	47.37	91.57	67.48	21.11
RP5-1180E21.5	23.4	21.26	60.8	36.12	41.33	205.99	32.19	25.39	9.31	12.79	48.74	17.19	98.87	19.27	28.64	15.32
U2AF1	22.65	19.29	185.94	12.79	28.96	111.46	25.41	15.02	17.3	36.05	32.03	9.31	58.71	41.19	50.14	21.75
CENPT	41	29.2	97.27	15.77	25.11	210.71	31.84	12.82	16.53	23.49	36.2	9.31	49.45	19.26	59.36	21.22
SGK494	28.75	19.29	41.35	9.51	36.05	210.73	13.19	16.65	21.77	25.49	32.16	15.08	89.83	48.68	66.98	22.63
RP11-20I23.13	19.37	23.32	44.87	17.17	15.12	9.02	12.93	25.35	31.99	59.5	29.53	21.18	116.76	192.37	36.68	44.11
STT3A	17.23	15.19	49.5	9.41	29.92	211.73	20.59	20.15	35.8	25.36	31.37	12.7	60	96.76	41.06	22.84
GOLPH3	19.25	12.79	97.28	9.31	23.5	211.41	21.2	17.32	41.11	31.92	59.94	15.02	35.94	25.08	49.01	29.22
RP11-449H3.3	28.93	43.28	31.79	17.41	25.49	206.7	47.6	14.96	19.24	21.42	58.58	23.13	98.77	36.9	9.02	9.02
WFDC1	15.19	18.68	31.92	58.39	50.25	9.02	25.61	28.69	21.43	18.22	22.98	12.86	211.99	36.27	95.18	41.99
F12	28.05	40.46	97.25	17.3	22.91	210.38	15.02	48.62	59.8	27.13	19.76	21.11	12.78	31.54	9.02	36.77
FBXO46	21.29	17.56	153.83	12.41	56.95	146.97	25.19	15.09	51.69	35.74	40.28	18.95	29.34	9.88	23.21	33.02
DEGS2	25.5	36.1	186.09	24.45	49.98	53.66	113.26	21.45	15.12	18.94	27.6	12.36	41.25	10.13	31.68	17.51
KDM8	35.76	32.03	98.82	19.12	12.82	208.84	47.77	41.82	17.47	21.48	25.83	14.99	60.29	28.75	9.02	23.15
AC005944.2	22.75	37.03	211.96	17.89	48.5	95.39	32.16	9.31	18.74	28.44	40.6	12.93	60.8	15.05	21.89	25.37
LINC01480	17.41	25.16	32.08	60.31	97.29	211.62	22.94	36.03	12.46	19.41	21.52	15.12	48.59	41.19	28.51	9.69
SPTSSB	29.06	25.36	97.23	9.31	23.13	53.56	50.32	212.01	19.12	17.51	12.88	14.93	32.89	35.32	44.34	21.23
PHLPP1	16.26	12.86	9.02	96.99	25.32	40.93	23.15	19.41	34.44	33.75	48.91	16.22	209.93	61.94	21.67	28.51
MRPL36	22.02	15.02	64.14	12.75	28.84	211.29	24.48	17.3	19.31	32.16	36.05	9.36	41.11	93.45	48.66	23.27
RP11-25K19.1	48.68	32.16	211.98	12.91	36.05	96.38	60.81	41.11	21.15	17.89	18.74	9.36	28.82	14.86	25.25	23.3
ARL4C	41.11	32.16	212.01	15.02	23.22	97.15	48.68	36.05	12.79	21.2	17.3	9.31	25.36	28.88	60.27	19.27
SAP25	19.17	23.4	208.83	15.04	21.23	45.76	17.32	9.31	50.17	63.04	35.74	28.93	87.5	12.86	25.1	32.74
FAM161B	22.88	33.06	65.74	39.1	93.41	21.87	35.79	17.23	25.67	15.44	48.55	9.37	30.54	12.86	207.54	18.98
EGFL8	22.81	19.26	48.55	34.08	21.33	207.86	17.8	9.46	13	28.97	25.69	14.92	96.35	34.31	40.84	62.42
TES	31.93	17.45	211.99	12.54	21.38	97.14	48.1	36.04	28.96	25.5	60.31	15.02	41.69	9.57	22.91	19.23
RIMKLB	17.63	29.88	26.02	41.93	48.25	9.02	30.98	63.78	15.02	35.8	21.23	12.79	206.29	23.4	83.7	19.05
ZHX3	29.36	41.34	100.67	32.52	48.29	205.3	17.3	14.6	20.95	25.95	19.97	12.71	35.14	9.97	59.1	22.94
HSPB1	21.2	29.29	97.29	12.83	41.66	60.21	9.37	17.32	48.07	30.78	212.02	14.94	36.06	19.25	26.15	23.42
ZNF415	24.84	23.48	9.02	49.73	32.67	9.02	40.98	60.63	15.02	19.58	21.2	17.46	210.51	35.86	96.59	28.66
RP1-302G2.5	40.74	9.02	9.02	9.02	9.02	9.02	9.02	48.04	9.02	35.79	60.3	28.78	97.27	212.01	9.02	31.98
IPO13	21.18	12.86	61.69	9.31	15.12	210.71	23.28	19.22	48.82	39.84	35.67	17.26	25.34	33.78	95.56	28.78
MON1A	38.5	21.14	97.23	9.42	17.14	211.02	60.31	25.83	28.44	37.71	48.36	15.02	33.19	19.33	12.81	23.42
RP3-428L16.2	33.01	28.97	100.01	19.71	48.75	59.43	21.04	25.19	23.21	35.18	41.32	13.07	208.7	17.15	9.02	15.12
RFX1	20.99	19.66	211.98	10	28.93	48.8	17.48	12.11	36.11	32.57	60.37	15.11	96.2	22.77	40.94	25.36
HBA1	35.58	17.3	41.33	14.69	23.91	61.93	98.15	21.36	28.84	19.33	24.46	9.42	13.02	207.99	32.79	49.31
TNFRSF18	32.16	41.11	58.05	24.87	28.31	100.32	51.38	208.25	12.81	15.06	17.36	9.36	36.04	19.32	21.04	24.14
RPS6KA5	20.42	32.07	210.2	25.36	60.81	98.33	23.22	36.2	17.01	28.97	41.05	9.31	48.58	13.15	14.94	20.03
RP11-936I5.1	48.57	209.45	89.52	17.14	12.89	40.76	36.12	67.46	23.3	20.93	32.21	15.19	19.47	25.34	9.02	28.88
ATXN7L3B	17.13	15.22	99.01	12.79	40.52	209.51	29.04	25.5	20.75	22.78	31.85	9.31	48.57	36.74	60.21	20.14
FLJ35934	48.15	29.2	211.77	32.21	14.93	9.02	97.29	19.65	22.99	36.44	20.87	17.85	59.42	25.07	9.02	41.57
LYPD2	22.91	21.57	60.28	25.3	35.3	96.61	19.25	9.41	40.99	28.88	212.02	33.02	14.99	17.32	12.66	48.68
XYLT2	19.34	26.3	210	15.02	52.67	97.6	25.24	12.79	33.21	34.22	43.62	21.86	26.5	17.35	9.25	54.2
RP11-511P7.5	28.72	36.5	97.26	32.16	60.3	211.41	23.28	19.68	9.31	17.21	15.12	12.79	40.61	48.68	25.43	20.78
GADD45G	19.55	25.36	210.4	18.31	23.13	9.02	19.51	15.51	49.42	36.33	32.16	28.88	97.11	59.11	9.02	42.95
C1QB	23.14	21.34	94.3	19.19	38.86	62.77	25.41	12.74	37.43	48.98	212.02	15.09	28.94	17.31	9.32	32.74
SMARCC2	25.36	21.2	211.99	17.3	40.98	74.93	31.98	36.17	12.79	19.27	29.05	9.31	49.18	23.21	64.56	15.02
PART1	25.58	41.02	48.01	21.12	204.49	100.81	32.1	17.7	22.95	12.83	36.29	15.36	61.34	29.51	9.02	19.16
ARHGEF39	23.88	21.32	98.86	9.36	34.76	207.15	25.44	29.49	16.75	19.32	48.37	12.74	60.3	32.76	40.42	15.58
RP11-356C4.3	25.24	59.75	49.32	21.58	31.32	9.02	29.07	23.41	12.93	19.77	96.7	17.21	211.99	40.77	14.15	36.49
TRGC2	97.29	41.02	211.96	12.86	28.88	36.22	48.68	60.05	23.16	21.28	25.34	15.31	19.26	16.95	9.02	32.16
JRKL	19.11	17.6	208.37	15.04	21.29	99.71	12.9	23.1	25.51	31.39	48.85	9.31	60.81	40.88	35.61	29.79
BRSK1	17.48	21.46	35.91	23.07	32.12	28.57	25.2	12.83	60.31	41.11	48.68	212.02	19.27	15.09	9.02	97.29
RP11-305L7.7	29.36	23.42	51.41	31.98	208.61	9.02	25.07	63.56	15.02	21.28	36.33	17.45	93.32	41.1	9.02	19.29
HLA-DRB5	17.3	9.72	28.97	25.36	41.09	59.79	14.42	13	21.16	36.17	49.05	19.31	97.29	32.06	211.97	23.22
PCOLCE	62.45	30.99	211.88	17.02	12.99	40.94	47.89	19.17	23.28	25.73	95.15	21.09	36.15	9.42	15.38	29.9
RP11-429E11.3	41.21	48.58	211.86	28.55	18.77	9.02	97.29	60.29	21.44	15.16	23.32	25.3	35.98	17.65	9.02	32.17
MSX1	25.66	49.19	16.19	30.31	19.45	94.97	13.03	23.09	16.3	21	34.1	38.97	211.95	34.72	9.02	60.37
MIRLET7BHG	14.61	31.83	46.89	17.4	29.19	13.37	9.37	37.62	23.24	41.68	88.15	25.19	211.99	19.68	68.66	20.68
SPIN2A	36.17	59.31	42.45	210.32	22.92	9.02	47.94	33.19	17.52	22	29.02	14.83	19.11	13.05	96.87	24.93
DDX51	19.1	17.44	97.26	12.75	28.74	210.43	22.38	22.98	15.09	36.08	32.1	9.36	57.2	41.47	51.25	24.57
EMP2	29.92	33.91	31.3	27.65	97.24	205.89	9.37	15.54	12.83	19.57	23.25	17.11	62.26	49.02	40.44	21
ABCG1	23.21	32.19	211.94	48.83	96.75	35.9	24.18	60.38	16.38	19.35	40.76	12.83	28.45	22.98	9.02	16.01
SUPT5H	18.97	17.6	97.28	12.79	29	211.66	21.2	15.02	25.84	31.55	36.05	9.31	48.84	41.11	60.08	23.22
LIMK2	17.85	19.24	211.99	12.86	24.24	20.25	15.09	9.31	60.18	40.98	32.31	24.45	97.27	48.81	28.18	36.02
GLIPR1L2	14.92	21.05	97.21	17.2	24.45	9.02	20.1	13.03	42.2	31.88	47.78	35.98	28.68	59.99	211.28	24.05
SLC25A25-AS1	18.9	28.86	23.35	36.55	40.97	210.45	17.31	12.79	21.31	60.01	32.24	15.48	97.27	25.46	9.02	48.01
TMEM213	32.95	45.75	209.63	17.2	12.84	9.02	98.26	29.2	19.48	26.21	60.96	21.11	43.23	23.36	34.49	15.12
AC009501.4	15.41	35.73	60.75	13.16	26.78	96.75	9.31	23.5	16.58	27.18	32.47	19.88	211.99	41.21	48.54	20.57
CTD-2516F10.2	12.83	15.13	64.21	93.26	41.63	206.32	25.15	17.84	19.19	28.98	37.08	23.36	32.01	21.12	9.02	48.76
TTC7B	11.82	25.5	59.79	17.43	22.98	96.93	20.03	32.59	15.12	20.98	47.17	10.45	209.99	35.28	42.97	29.61
CXCR3	32.16	28.88	212	15.05	25.36	59.47	23.22	41.11	12.75	17.28	19.54	9.36	36.04	49.35	97.23	20.92
ZNF620	31.18	30.02	211.91	35.79	59.84	9.02	47.73	42.52	15.02	21.15	24.02	17.35	97.28	24.63	9.02	19.27
MZB1	17.32	19.39	35.75	32.45	41.11	211.89	24.87	28.87	12.82	15	21.32	9.31	49.19	97.29	59.76	23.45
QTRT1	21.23	25.36	61.29	18.85	36.05	211.67	23.19	29.62	12.79	17.72	31.41	9.31	48.84	41.11	95.6	15.02
FCGBP	89.79	40.94	211.68	25.33	19.32	9.02	29.26	21.41	23.04	31.99	49.19	17.42	36.11	15.05	9.02	66.94
PPP1R14A	14.4	21.87	28.72	36.05	48.68	95.54	9.31	32.15	13.45	19.3	22.52	17.28	61.88	41.11	211.96	25.47
ARHGAP33	42.29	62.47	211.95	35.75	94.14	9.02	32.34	17.29	19.35	25.35	48.35	28.91	21.57	22.81	9.02	15.06
MAPT	40.76	48.85	97.72	17.42	23.4	9.02	36.31	19.98	15.06	21.01	30.95	24.85	61.86	30.27	206.52	12.77
AC012314.8	20.35	25.66	17.5	23.1	49.02	59.72	40.83	28.9	13.03	15.16	36.12	20.29	211.95	32.4	93.39	9.47
PLCB2	19.29	17.3	60.89	13.06	23.2	211.18	21.2	9.31	36.11	41.41	96.7	25.36	48.31	14.75	29.65	31.28
B3GAT2	28.92	48.59	60.83	19.3	25.36	209.69	36.4	40.85	12.79	15.02	32.11	9.31	98.25	22.98	21.22	17.44
PACSIN1	25.38	28.89	96.74	19.3	22.87	36.14	32.11	48.64	15.31	12.93	20.47	9.42	60.66	212.01	40.79	17.8
UCN	19.44	25.11	31.29	47.08	88.92	13.47	16.7	23.54	21.5	29.82	42.8	15.34	211.99	35.28	9.02	68.16
RETN	23.43	21.2	32.21	19.27	28.88	40.64	25.15	9.36	212.02	58.36	50.62	36.39	15.12	12.74	17.17	97.29
ABCB5	12.9	29.04	97.55	20.97	31.95	9.02	15.95	23.33	19.25	36.52	61.37	17.1	210.42	42.27	44.94	25.11
AC027601.1	14.99	54.38	20.73	26.68	12.97	205.89	23.84	9.02	17.48	19.98	30.09	29.1	44.94	35.97	97.02	52.4
IFI6	28.18	23.16	96.69	15.02	21.32	62.43	25.96	17.3	36.06	48.68	210.37	32.2	19.31	9.42	12.65	41.05
SLC4A7	96.78	41.56	212	14.93	35.22	49.03	28.93	12.89	17.67	23.37	25.25	9.31	59.36	33.11	18.32	21.18
PTGDR	48.68	36.12	60.29	9.46	32.12	40.79	212.02	97.28	17.34	21.03	28.91	12.68	25.02	15.19	19.17	23.53
NUP50	17.27	23.07	212.01	9.31	28.88	97.04	19.27	13.64	41.11	48.68	60.31	14.23	32.37	21.41	25.24	35.84
SHROOM4	28.83	32.68	22.61	22.06	15.37	9.02	40.38	36.34	17.55	48.81	97.29	19.28	211.99	24.49	9.02	59.99
CCL8	48.6	9.02	208.62	9.02	9.02	9.02	9.02	9.02	60.58	9.02	9.02	9.02	9.02	9.02	9.02	97.55
RIMS3	22.05	12.98	95.94	28.83	25.39	40.93	9.52	15.09	19.58	17.39	36.12	22.3	61.16	212.01	48.38	31.78
CTD-2033A16.1	23.93	67	24.37	14.96	17.3	9.02	35.9	32.84	13.17	19.21	29.51	21.38	211.95	88.34	45.36	40.23
GCNT4	96.24	212.02	61.31	31.86	21.25	9.02	36.09	19.1	23.54	28.98	41.06	25.18	17.2	14.99	9.02	48.68
DNASE1L3	9.47	25.38	28.82	36.12	32.21	48.01	15.6	41.22	18.69	16.79	23.27	21.2	60.3	207.14	100.68	13.15
FAM129C	9.37	25.32	32.2	48.68	60.79	35.37	15.16	28.93	12.83	21.09	19.79	17.26	96.79	212.01	41.04	22.94
CH17-373J23.1	12.79	9.31	36.49	18.17	25.31	211.7	15.02	23.39	32.12	41.54	21.12	18.49	49.83	97.29	53.93	28.79
ZNF562	18.35	15.15	211.98	19.12	46.63	41.7	32.38	23.42	20.29	36.51	60.31	9.31	97.29	12.79	28.63	25.51
LCNL1	41.11	28.91	34.94	9.42	12.84	25.4	48.68	32.73	18.45	21	23.25	18.41	63.59	212.01	93.84	14.99
CRLF3	19.91	17.3	211.98	12.79	35.98	40.5	21.46	15.02	25.36	28.92	48.58	9.31	96.76	32.76	60.78	22.32
IGLV3-25	19.27	28.75	47.21	61.43	96.17	209.88	21.35	9.02	23.37	25.56	36.41	17.39	14.96	41.19	9.02	32.03
RNF122	12.73	15.33	32.26	23.41	28.93	62.39	17.13	9.46	20.04	24.47	210.58	41.05	96.2	48.85	20.63	35.8
IL7R	60.31	212.02	97.25	19.29	36.05	22.04	29.1	48.68	22.34	25.33	31.93	15.16	17.16	12.79	9.27	41.11
RP11-66N24.3	16.54	21.09	33.39	9.52	36.16	148.13	25.71	13.06	24.42	61.33	39.56	19.3	109.79	27.82	15.36	48.22
TCP11L1	26.02	12.79	174.15	15.02	17.3	59.45	19.32	35.99	23.34	27.37	21.87	9.31	41.31	49.4	132.27	32.2
MOG	31.86	61.3	21.74	48.64	15.77	9.02	17.06	29.43	19.14	22.98	25.78	12.96	98.33	41.05	206.52	35.23
SLC38A9	24.98	17.25	98.78	14.83	32.08	209.54	19.48	13.05	23.6	28.96	36.05	9.31	60.3	41.56	48.14	20.99
S1PR5	60.31	40.98	97.27	14.45	30.64	36.01	212.02	48.68	19.6	25.4	21.66	13.37	22.62	9.31	29.79	17.48
SMG8	12.79	20.37	204.21	15.23	23.2	9.02	19.49	18.01	40.91	36.33	49.54	25.68	61.39	29.75	100.77	30.98
ZMPSTE24	19.29	15.05	97.28	9.31	17.28	211.72	21.18	23.36	32.12	28.92	36.05	12.79	48.67	41.11	60.25	25.22
LINC00926	22.44	25.06	48.17	97.29	212.02	59.76	19.27	12.79	28.93	36.19	32.21	22.28	17.3	15.02	9.02	41.47
TRIM41	23.57	19.51	98.71	16.59	40.92	209	25.01	14.63	29.31	32.26	48.68	9.57	60.3	20.94	13.63	35.7
NMT2	40.34	97.29	211.99	28.88	32.16	37.12	48.44	60.11	9.9	18.66	23.18	12.2	18.06	15.08	20.96	25.36
RP11-195F19.5	19.27	29.02	61.95	15.27	40.11	205.91	17.03	12.81	36.47	32.42	25.34	21.2	99.25	49.01	9.02	23.41
MYOM1	32.69	38.81	96.3	29.39	21.81	9.02	59.59	15.03	23.25	17.41	25.61	12.92	49.35	37.08	210.8	19.29
AP001505.10	22.51	25.33	60.26	18.11	15.73	100.81	20.91	12.72	32.2	36.05	41.17	19.16	48.56	28.39	205.04	9.47
LAMC2	16.36	35.46	97.88	60.38	10.05	25.91	18.99	28.48	32.28	12.74	48.12	41.75	210.56	21.46	22.55	16.03
XKR4	16.01	19.85	61.6	17.71	27.88	36.98	30.79	21.4	9.37	23.05	48.86	13	99.98	25.98	205.68	39.91
IGLV2-14	23.29	21.04	36.21	89.27	68.31	210.46	17.38	32.41	15.13	19.58	25.58	9.47	28.94	40.47	47.53	12.73
SLC16A10	15	42.27	94.61	33.02	34.73	205.89	21.26	9.02	17.74	23.24	19.14	12.89	48.81	29.36	63.85	25.28
RPS6KA6	25.11	21.08	12.84	49.37	206.91	100.05	36.72	9.46	19.51	23.84	15.09	17.51	60.07	32.24	38.69	28.88
HLA-DRB1	15.02	9.31	28.97	25.36	41.33	49.25	12.79	19.15	21.2	32.1	59.41	17.42	97.29	36.07	211.96	23.22
KLRB1	48.68	41.11	60.9	9.31	25.36	35.98	212.02	96.7	19.15	21.18	23.22	15.02	32.15	12.79	17.42	28.88
RP11-410L14.2	19.47	16.57	97.26	15.69	25.02	211.02	12.95	21.08	40.99	36.13	30.48	9.31	58.04	30.54	50.85	23.43
ITCH-AS1	41.41	23.26	64.54	36.05	15	9.02	94.48	21.12	29.12	25.42	32.2	19.32	209.6	48.6	9.02	17.21
ZNF410	24.17	35.76	211.9	15.64	46.91	59	42.96	30.75	16.22	20.79	25.4	9.31	97.27	29.42	20.35	13.45
TNFRSF4	26.23	98.46	208.06	12.53	19.01	62.31	41.11	49.17	9.58	15.3	21.48	17.4	35.94	23.03	31.73	28.25
VSTM4	23.06	36.3	9.43	31.92	21.31	78.81	19.35	40.97	15.39	28.85	25.83	12.93	210.53	49.98	56.46	16.68
PTK6	14.89	36	19.35	21.26	64.09	9.02	28.92	13.08	41.27	32.45	94.95	17.36	209.93	23.16	47.87	25.32
RP11-333I13.1	32.56	60.81	23.46	29.76	96.33	9.02	40.25	48.31	19.43	21.04	35.8	15.24	211.95	25.51	9.02	17.21
SMG1	19.37	17.3	97.28	12.88	32.16	211.67	23.13	14.93	28.78	36.05	41.22	9.31	49.86	25.43	58.92	21.21
RP11-804H8.6	17.27	19.35	21.85	11	11.19	59.62	23.08	28.98	32.23	41.21	48.85	15.19	205.12	35.57	103.52	25.28
CLDND1	36	32.21	210.08	12.79	21.2	99.08	25.36	60.3	15.02	19.27	23.22	9.31	41.43	28.88	48.31	17.3
SLC35D1	28.76	16.7	97.26	9.31	35.65	210.38	22.18	25.18	41.67	19.52	22.82	12.79	48.43	15.67	59.27	32.44
HOXB3	35.91	25.41	207.87	9.02	41.26	9.02	61.21	29.4	21.23	17.36	23.19	15.02	98.85	32.14	49.2	19.21
TMEM19	20.86	12.79	48.67	32.16	36.11	211.82	25.36	23.11	16.58	19.72	28.88	9.31	41.05	61.32	96.18	15.75
ERICH1-AS1	28.83	41.19	9.02	9.02	9.02	9.02	23.1	9.02	32.01	48.79	208.28	99.81	25.31	36	9.02	61.08
CMTR2	23.24	12.79	212	15.02	48.46	60.64	41.07	35.42	19.09	21.2	27.84	9.31	96.65	26.51	33	17.48
IGHG1	18.9	15.03	48.67	60.31	97.29	211.73	21.23	17.59	25.07	32.33	35.9	12.86	9.31	23.46	40.96	28.92
RP11-35G9.5	17.66	21.45	211.88	97.29	34.29	9.02	29.32	41.38	15.06	24.47	33.28	12.83	47.95	60.15	20.72	22.58
CTD-3110H11.1	31.83	36.8	23.28	212.01	61.95	9.02	46.83	42.45	17.47	21.02	29.18	15.02	95.24	19.45	9.02	25.24
AARD	37.72	48.41	211.89	31.92	9.02	9.02	60.3	25.52	19.36	21.11	39.57	23.34	97.25	28.94	9.02	9.02
GPT2	14.67	18.97	47.2	32.27	97.29	211.02	22.49	18.57	20.93	25.34	29.03	9.41	60.16	36.36	41.56	13.05
CNDP1	33.12	50.19	25.02	15.22	95.89	9.02	35.68	40.5	17.23	21.91	60.19	19.74	211.98	25.35	9.02	25.65
RAP2C	21.22	19.27	97.28	15.05	41.52	211.68	32.55	9.85	35.37	25.91	60.31	12.26	48.26	17.27	28.52	23.22
ANKRD23	20.48	35.66	25.25	15.89	12.84	209.88	29.35	60.09	20.38	48.31	23.11	16.55	95.4	41.84	32.99	9.52
RBP5	32.37	21.61	22.91	41.08	29.42	61.7	36.02	25.42	19.41	15.2	48.8	17.29	208.31	9.52	95.07	12.79
RP11-84A19.4	17.56	19.45	48.31	22.51	36.13	98.74	21.73	12.79	29.17	40.99	61.38	25.38	208.14	15.02	9.02	32.57
FBXO36	36.68	28.57	211.89	19.3	42.39	31.76	96.77	48.49	12.93	14.99	21.32	9.37	58.9	23.41	25.47	17.3
RP3-394A18.1	21.3	23.07	37	13.05	46.95	207.8	19.37	14.76	40.12	29.17	64.81	9.31	94.7	17.27	33.63	25.39
FBXW5	32.16	17.3	98.72	9.31	19.29	210.2	25.36	15.02	23.22	28.88	41.47	12.79	48.95	36.05	59.61	21.18
BRD8	17.58	20.49	98.72	12.79	35.44	209.8	15.46	32.32	19.34	25.79	47.73	9.31	60.3	29.27	41.63	23.14
CD63	21.2	12.79	98.18	9.31	19.16	60.83	25.36	32.16	48.46	36.11	210.54	15.02	23.21	17.41	41.23	28.88
SMIM6	21.21	23.07	9.02	32.06	9.02	48.57	25.22	36.18	9.02	28.91	19.38	17.8	62.44	212.01	79.44	41.15
PPFIBP1	23.27	27.42	82.32	63.26	35.76	205.89	17.35	32.52	19.21	26.94	14.81	13.17	41.43	62.44	9.02	21.21
ZBTB2	32.5	21.12	208.59	12.79	28.63	100.27	45.67	25.54	15.98	23.37	44.99	9.31	59.29	19.2	35.66	16.49
PILRB	41.57	26.13	211.98	21.09	32.32	53.38	97.29	50.2	12.79	17.3	23.22	9.31	27.85	19.38	35.81	15.02
GAL	48.75	32.04	9.02	41.19	9.02	205.89	9.02	9.02	28.78	60.71	98.33	9.02	9.02	36.01	9.02	9.02
AZIN2	28.97	32.94	41.08	17.26	21.12	47.42	35.49	23.26	14.6	9.58	19.41	13.2	96.23	212.01	61.25	25.33
ARID5A	28.88	23.29	62.69	12.69	21.2	203.43	48.84	41.11	15.02	25.29	19.27	9.42	32.15	36.05	102.05	17.3
IGLV1-44	15.07	35.68	9.02	97.29	60.3	209.91	29.11	23.22	25.11	19.28	43.27	17.36	21.24	45.2	9.02	33.41
THBS1	23.42	21.32	41.13	19.02	32.11	24.14	28.84	15.09	212.02	60.31	36.11	48.59	9.42	12.86	17.54	97.29
MSL2	23.17	19.37	211.96	13.67	25.51	95.93	21.15	14.01	49.32	59.63	40.48	17.3	36.85	9.42	32.45	29.2
RSBN1L	28.88	19.46	173.09	14.55	60.31	134.51	32.61	20.69	25.3	23.27	47.75	9.31	35.59	17.62	42.01	13.26
KCTD21-AS1	36.02	32.2	211.82	22.21	49.08	60.86	15.03	13.06	17.31	22.27	25.51	9.42	95.28	41.26	28.67	19.24
BCAR3	21.21	23.43	28.55	32.16	60.17	207.3	9.42	36.03	16.89	13.21	25.05	15.48	48.72	41.2	100.24	19.08
MUM1	23.37	25.19	97.28	21.11	41.11	211.23	35.99	48.82	12.79	17.33	32.16	9.31	60.16	28.93	19.27	15.05
PKD2L2	20.49	34.58	23.36	28.37	37.07	207.83	25.07	12.88	9.52	20.53	37.8	15.03	92.93	49.37	65.57	17.2
AC015849.19	36.41	55.76	154.36	17.23	31.63	9.02	55.05	40.81	15.12	21.26	26.24	23.14	151.88	28.38	9.02	19.26
RASSF3	21.2	25.36	210.07	17.17	23.22	51.65	19.27	13.11	40.08	33.12	61.91	28.88	94.15	14.41	9.73	36.54
RP11-162A12.2	32.77	25.18	98.83	21.24	29.15	41.74	14.98	23.23	18.98	17.79	59.55	12.4	49	36.12	207.08	10.02
C5orf15	15.02	12.64	60.17	17.3	28.88	97.08	21.16	19.31	23.24	32.16	36.12	9.47	48.81	41.04	211.96	25.33
RAP2B	23.25	20.88	208.29	9.31	14.23	100.84	26.03	17.32	32.16	41.68	60.31	19.65	48.11	13.53	26.84	36.05
AC145212.2	12.83	28.56	9.02	21.71	49.55	210.42	17.33	14.98	22.96	31.97	36.41	25.91	41.63	60.02	94.85	19.38
AP4M1	26.15	17.84	102.24	12.75	28.1	205.47	18.87	23.13	15.08	32.21	49.37	9.36	35.95	21.17	59.48	41.05
TMEM210	28.79	35.76	9.02	9.02	9.02	9.02	48.56	41.2	21.08	23.1	32.3	25.28	96.25	212.01	61.07	9.02
ZNF850	30.34	17.32	210.39	30.44	26.61	96.91	41.78	21.46	12.86	19.28	23.14	14.99	60.35	48.74	9.02	34.81
ADGRA3	28.92	25.21	210.37	32.16	9.02	9.02	36.12	43.52	17.36	21.32	15.05	19.33	48.31	92.43	63.95	23.1
RP11-96L14.7	9.36	39.66	28.89	17.41	24.31	101.73	19.51	23.31	21.66	48.68	60.31	15.34	12.81	32.13	205.91	37.12
CD79A	15.05	17.47	48.67	60.31	97.29	211.93	19.08	9.31	21.22	29.28	36.01	12.79	23.19	41.11	31.59	25.51
RP11-638I2.4	12.82	38.31	23.3	39.28	47.8	9.02	20.79	19.58	25.81	31.52	30.07	84.03	210.36	17.69	73.97	15.23
ZAP70	60.12	36.12	212	15.02	25.71	41.26	97.29	48.56	19.27	21.22	28.52	17.3	32.15	12.79	9.27	23.2
CIITA	12.7	15.02	23.28	25.34	49	59.62	9.41	17.32	21.2	41.21	32.16	19.25	212.01	36.04	97.2	28.82
RAPGEFL1	29.45	59.35	25.6	18.87	46.71	9.02	21.64	9.02	37.09	111.02	31.6	22.9	15.1	17.78	40.41	198.27
SLC16A4	31.83	23.26	210.38	41.43	61.36	97.03	25.81	36.01	15.02	17.3	21.31	12.79	28.62	19.29	47.89	9.31
PLAG1	15.26	33.51	41.21	60.3	98.88	208.86	28.14	25.89	23.09	9.95	16.31	19.3	47.35	35.86	21.3	13.07
SHARPIN	25.69	15.31	97.28	12.79	20.61	211.6	23.49	17.02	19.86	32.16	48.68	9.31	41.11	36.05	60.26	28.28
CHIT1	19.41	21.29	28.62	36.36	97.29	209.88	9.02	17.36	23.1	55.32	53.53	32.19	14.99	40.69	9.02	25.23
RP11-548H3.1	39.67	32.48	206.32	15.26	29.64	9.02	21.01	12.86	50.06	102.19	19.56	23.37	58.19	17.5	35.01	26.21
AP000708.1	23.93	32.57	25.28	34.72	48.88	9.02	21.26	29.15	17.4	14.97	40.99	19.17	211.99	60.53	96.17	12.98
