gennames	TS1	TS2	TS3	BS1	BS2	BS3	NS1	NS2	MS1	MS2	MS3	MS4	DS1	DS2	DS3	MK
CTNS	21.21	12.86	23.79	9.31	48	211.03	19.31	15.09	28.84	35.97	40.83	17.17	59.65	97.29	33.18	25.35
CTC-425F1.4	17.32	23.08	97.28	12.74	21.37	210.73	15.02	9.37	27.42	19.27	60.31	40.66	48.68	26.78	36.17	32.32
LINC01451	32.2	38.76	205.06	9.02	17.18	9.02	97.24	64.55	19.44	38.54	21.06	28.82	49.53	23.2	9.02	25.44
RP11-442H21.2	12.88	36.1	42.62	15.25	23.81	97.44	20.83	32.11	17.53	25.8	27.88	9.31	210.47	58.1	49.77	19.09
PTCRA	17.17	25.33	32.2	21.25	9.41	48.46	13.01	35.98	19.02	23.2	28.88	15.1	97.28	212.02	60.21	41.11
UBE2W	17.3	9.36	37.06	21.18	24.63	95.88	19.29	13.17	24	32.16	40.29	14.6	211.99	61.33	48.58	28.83
HSD17B7	32.49	35.8	211.99	23.16	41.55	97.02	25.5	9.41	12.87	15.33	59.24	20.94	17.23	28.78	49.12	19.18
XCL2	48.68	40.99	97.28	9.36	21.26	28.52	60.31	212	15.05	19.28	17.41	12.75	32.1	23.9	36.03	24.75
NLRC5	48.4	32.99	211.98	14.2	60.17	97.05	23.6	21.17	35.21	25.18	41.53	17.36	19.2	9.31	13.63	28.67
LINC01207	30.4	98.33	9.02	30.79	23.18	9.02	47.57	17.21	37.54	19.22	61.18	21.32	209.56	40.35	9.02	25.69
RP1-55C23.7	22.67	48.38	25.52	32.18	35.47	9.02	28.99	17.4	212.02	41.68	21.93	96.28	19.24	14.99	9.02	60.87
ACY1	28.79	23.14	50.47	20.91	58.57	9.02	25.55	14.48	19.6	33.31	35.37	17.42	100.4	41.3	206.24	13.24
CEP128	36.05	32.04	97.26	13.99	28.43	211.39	25.22	13.84	17.28	23.93	19.46	9.31	48.57	60.3	41.14	21.01
IGHG3	23.74	17.1	60.28	48.68	97.29	211.7	25.17	12.79	19.37	40.65	32.45	15.23	9.31	28.49	36.14	21.16
AP2A2	15.15	21.83	97.28	12.54	30.29	211.7	22.57	19.11	36.34	25.36	41.59	9.57	48.06	17.35	60.07	30.75
TRIP10	15.02	17.6	41.32	28.94	36.04	48.31	12.2	23.33	21.66	31.85	19.4	9.91	61.86	212.01	95.4	24.59
IGKV3-20	25.45	17.49	48.65	97.29	60.3	209.92	19.37	9.02	20.79	32.44	39.45	23.16	37.26	15.38	9.02	28.77
AC083949.1	12.9	21.29	17.39	32.19	204.83	60.33	35.87	9.41	15.27	28.88	41.49	25.46	48.68	23.61	102.59	19.05
UGDH-AS1	20.94	17.66	210.2	63.99	22.96	9.02	41.37	49.91	25.87	19.38	31.6	29.05	90.81	36.55	9.02	15.09
RP5-1159O4.1	28.82	20.75	211.85	35.77	97.29	48.3	39.76	59.78	15.06	23.22	25.62	12.83	33.92	19.33	9.02	17.79
VWA3B	31.15	52.29	44	35.85	17.35	9.02	22.26	9.02	30.69	19.29	95.08	23.17	210.4	56.1	9.02	24.31
RP11-490O6.2	31.37	27.97	98.83	19.11	21.35	205.89	11.32	15.59	23.96	60.81	33.3	11.6	42.92	16.49	30.56	45.23
MYO18A	25.29	23.32	61.22	17.25	19.33	207.83	20.95	15.14	28.92	32.62	41.11	12.88	98.23	48.85	9.02	35.5
SEMA6A-AS1	16.76	21.31	44.74	36.07	44.43	9.02	31.56	19.18	28	23.37	26.8	15.78	210.46	61.36	9.02	97.71
SRR	21.34	15.08	200.01	12.79	23.14	105.83	25.74	41.14	17.24	19.27	32.13	9.31	48.85	28.8	59.84	35.78
RP11-138A9.1	40.11	96.85	37.02	28.55	59.23	211.02	25.95	21.12	12.79	15.02	19.35	9.31	23.36	50.2	31.69	17.3
PAN3	25.36	31.58	60.3	20.04	36.1	98.71	22.96	15.15	12.79	20.56	29.45	9.31	210.34	41.06	48.65	17.3
C3orf67	30.14	48.13	210.18	15	59.03	9.02	19.23	35.99	22.59	21.91	17.39	31.1	98.86	42.64	9.02	25.17
PFKFB2	9.31	22.96	19.33	17.05	28.87	48.48	14.43	13.85	25.41	32.33	41.17	21.17	98.74	210.55	59.84	36.01
KRI1	28.5	19.09	211.98	17.3	36.07	61.05	32.11	25.76	14.76	21.2	23.28	9.31	42.51	47.84	95.44	13.23
SLC16A7	23.54	21.2	211.99	17.25	26.4	95.63	27.79	15.05	41.21	31.88	60.79	9.37	49.46	19.27	12.73	36.05
TRAM1	23.22	17.33	41.11	12.79	32.12	211.89	21.2	26.38	19.24	27.86	36.05	9.31	59.58	97.29	49.37	15.02
PLA2G16	32.27	19.22	48.67	9.31	15.02	96.59	41.11	23.35	21.2	28.88	17.35	12.79	35.92	60.8	211.96	25.23
ASIP	15.09	28.97	9.02	33.11	34.97	40.31	12.87	48.67	25.32	17.2	19.35	21.39	60.29	212.01	97.17	23.28
AMER1	21.92	25.48	95.67	22.36	17.21	209.91	29.32	12.77	39	41.91	45.64	19.61	60.73	15.07	9.02	31.74
LINC01502	25.46	60.81	23.43	46.84	28.62	205.89	21.33	37.73	12.93	19.47	39.62	15.09	98.86	33.77	9.02	17.35
RP11-708J19.1	31.99	19.39	97.23	36.02	42.79	210.42	60.31	25.21	15.09	17.42	29.15	9.37	22.87	46.47	21.29	12.83
SLC35F3	17.33	39.84	25.77	9.02	21.32	47.7	9.02	31.74	19.41	37.46	23.34	28.73	60.29	212.01	96.99	14.97
TRDC	48.68	32.21	99.21	9.31	20.37	38.39	60.31	210.08	15.02	20.12	17.3	12.79	36.62	25.36	28.83	23.19
